2022-01-16 18:33:17,513 - tensorflow - INFO - **** Trainable Variables ****
2022-01-16 18:33:17,514 - root - INFO -   name = bert/embeddings/word_embeddings:0, shape = (9, 768)
2022-01-16 18:33:17,514 - root - INFO -   name = bert/encoder/layer_0/attention/self/query/kernel:0, shape = (768, 768)
2022-01-16 18:33:17,514 - root - INFO -   name = bert/encoder/layer_0/attention/self/query/bias:0, shape = (768,)
2022-01-16 18:33:17,515 - root - INFO -   name = bert/encoder/layer_0/attention/self/key/kernel:0, shape = (768, 768)
2022-01-16 18:33:17,515 - root - INFO -   name = bert/encoder/layer_0/attention/self/key/bias:0, shape = (768,)
2022-01-16 18:33:17,516 - root - INFO -   name = bert/encoder/layer_0/attention/self/value/kernel:0, shape = (768, 768)
2022-01-16 18:33:17,516 - root - INFO -   name = bert/encoder/layer_0/attention/self/value/bias:0, shape = (768,)
2022-01-16 18:33:17,516 - root - INFO -   name = bert/encoder/layer_0/attention/output/dense/kernel:0, shape = (768, 768)
2022-01-16 18:33:17,517 - root - INFO -   name = bert/encoder/layer_0/attention/output/dense/bias:0, shape = (768,)
2022-01-16 18:33:17,517 - root - INFO -   name = bert/encoder/layer_0/attention/output/layer_normalization/gamma:0, shape = (768,)
2022-01-16 18:33:17,517 - root - INFO -   name = bert/encoder/layer_0/attention/output/layer_normalization/beta:0, shape = (768,)
2022-01-16 18:33:17,517 - root - INFO -   name = bert/encoder/layer_0/intermediate/dense/kernel:0, shape = (768, 3072)
2022-01-16 18:33:17,518 - root - INFO -   name = bert/encoder/layer_0/intermediate/dense/bias:0, shape = (3072,)
2022-01-16 18:33:17,518 - root - INFO -   name = bert/encoder/layer_0/output/dense/kernel:0, shape = (3072, 768)
2022-01-16 18:33:17,518 - root - INFO -   name = bert/encoder/layer_0/output/dense/bias:0, shape = (768,)
2022-01-16 18:33:17,518 - root - INFO -   name = bert/encoder/layer_0/output/layer_normalization_1/gamma:0, shape = (768,)
2022-01-16 18:33:17,519 - root - INFO -   name = bert/encoder/layer_0/output/layer_normalization_1/beta:0, shape = (768,)
2022-01-16 18:33:17,519 - root - INFO -   name = bert/encoder/layer_1/attention/self/query/kernel:0, shape = (768, 768)
2022-01-16 18:33:17,520 - root - INFO -   name = bert/encoder/layer_1/attention/self/query/bias:0, shape = (768,)
2022-01-16 18:33:17,520 - root - INFO -   name = bert/encoder/layer_1/attention/self/key/kernel:0, shape = (768, 768)
2022-01-16 18:33:17,520 - root - INFO -   name = bert/encoder/layer_1/attention/self/key/bias:0, shape = (768,)
2022-01-16 18:33:17,521 - root - INFO -   name = bert/encoder/layer_1/attention/self/value/kernel:0, shape = (768, 768)
2022-01-16 18:33:17,521 - root - INFO -   name = bert/encoder/layer_1/attention/self/value/bias:0, shape = (768,)
2022-01-16 18:33:17,521 - root - INFO -   name = bert/encoder/layer_1/attention/output/dense/kernel:0, shape = (768, 768)
2022-01-16 18:33:17,521 - root - INFO -   name = bert/encoder/layer_1/attention/output/dense/bias:0, shape = (768,)
2022-01-16 18:33:17,522 - root - INFO -   name = bert/encoder/layer_1/attention/output/layer_normalization_2/gamma:0, shape = (768,)
2022-01-16 18:33:17,522 - root - INFO -   name = bert/encoder/layer_1/attention/output/layer_normalization_2/beta:0, shape = (768,)
2022-01-16 18:33:17,522 - root - INFO -   name = bert/encoder/layer_1/intermediate/dense/kernel:0, shape = (768, 3072)
2022-01-16 18:33:17,523 - root - INFO -   name = bert/encoder/layer_1/intermediate/dense/bias:0, shape = (3072,)
2022-01-16 18:33:17,523 - root - INFO -   name = bert/encoder/layer_1/output/dense/kernel:0, shape = (3072, 768)
2022-01-16 18:33:17,523 - root - INFO -   name = bert/encoder/layer_1/output/dense/bias:0, shape = (768,)
2022-01-16 18:33:17,523 - root - INFO -   name = bert/encoder/layer_1/output/layer_normalization_3/gamma:0, shape = (768,)
2022-01-16 18:33:17,524 - root - INFO -   name = bert/encoder/layer_1/output/layer_normalization_3/beta:0, shape = (768,)
2022-01-16 18:33:17,524 - root - INFO -   name = bert/encoder/layer_2/attention/self/query/kernel:0, shape = (768, 768)
2022-01-16 18:33:17,524 - root - INFO -   name = bert/encoder/layer_2/attention/self/query/bias:0, shape = (768,)
2022-01-16 18:33:17,524 - root - INFO -   name = bert/encoder/layer_2/attention/self/key/kernel:0, shape = (768, 768)
2022-01-16 18:33:17,525 - root - INFO -   name = bert/encoder/layer_2/attention/self/key/bias:0, shape = (768,)
2022-01-16 18:33:17,525 - root - INFO -   name = bert/encoder/layer_2/attention/self/value/kernel:0, shape = (768, 768)
